Year,Category,Nominee,Additional Info,Won?
2010,Best Picture,Winter's Bone,"Anne Rosellini and Alix Madigan-Yorkin, Producers",NO
2010,Short Film (Animated),Day & Night,Teddy Newton,NO
2010,Short Film (Animated),The Gruffalo,Jakob Schuh and Max Lang,NO
2010,Short Film (Animated),Let's Pollute,Geefwee Boedoe,NO
2010,Short Film (Animated),The Lost Thing,Shaun Tan and Andrew Ruhemann,YES
2010,Short Film (Animated),"Madagascar, carnet de voyage (Madagascar, a Journey Diary)",Bastien Dubois,NO
2010,Short Film (Live Action),The Confession,Tanel Toom,NO
2010,Short Film (Live Action),The Crush,Michael Creagh,NO
2010,Short Film (Live Action),God of Love,Luke Matheny,YES
2010,Short Film (Live Action),Na Wewe,Ivan Goldschmidt,NO
2010,Short Film (Live Action),Wish 143,Ian Barnes and Samantha Waite,NO
2010,Sound,Inception,"Lora Hirschberg, Gary A. Rizzo and Ed Novick",YES
2010,Sound,The King's Speech,"Paul Hamblin, Martin Jensen and John Midgley",NO
2010,Sound,Salt,"Jeffrey J. Haboush, Greg P. Russell, Scott Millan and William Sarokin",NO
2010,Sound,The Social Network,"Ren Klyce, David Parker, Michael Semanick and Mark Weingarten",NO
2010,Sound,True Grit,"Skip Lievsay, Craig Berkey, Greg Orloff and Peter F. Kurland",NO
2010,Sound Editing,Inception,Richard King,YES
2010,Sound Editing,Toy Story 3,Tom Myers and Michael Silvers,NO
2010,Sound Editing,Tron: Legacy,Gwendolyn Yates Whittle and Addison Teague,NO
2010,Sound Editing,True Grit,Skip Lievsay and Craig Berkey,NO
2010,Sound Editing,Unstoppable,Mark P. Stoeckinger,NO
2010,Visual Effects,Alice in Wonderland,"Ken Ralston, David Schaub, Carey Villegas and Sean Phillips",NO
2010,Visual Effects,Harry Potter and the Deathly Hallows Part 1,"Tim Burke, John Richardson, Christian Manz and Nicolas Aithadi",NO
2010,Visual Effects,Hereafter,"Michael Owens, Bryan Grill, Stephan Trojansky and Joe Farrell",NO
2010,Visual Effects,Inception,"Paul Franklin, Chris Corbould, Andrew Lockley and Peter Bebb",YES
2010,Visual Effects,Iron Man 2,"Janek Sirrs, Ben Snow, Ged Wright and Daniel Sudick",NO
2010,Writing,127 Hours,Screenplay by Danny Boyle & Simon Beaufoy,NO
2010,Writing,The Social Network,Screenplay by Aaron Sorkin,YES
2010,Writing,Toy Story 3,"Screenplay by Michael Arndt; Story by John Lasseter, Andrew Stanton and Lee Unkrich",NO
2010,Writing,True Grit,Written for the screen by Joel Coen & Ethan Coen,NO
2010,Writing,Winter's Bone,Adapted for the screen by Debra Granik & Anne Rosellini,NO
2010,Writing,Another Year,Written by Mike Leigh,NO
2010,Writing,The Fighter,Screenplay by Scott Silver and Paul Tamasy & Eric Johnson; Story by Keith Dorrington & Paul Tamasy & Eric Johnson,NO
2010,Writing,Inception,Written by Christopher Nolan,NO
2010,Writing,The Kids Are All Right,Written by Lisa Cholodenko & Stuart Blumberg,NO
2010,Writing,The King's Speech,Screenplay by David Seidler,YES
2010,Honorary Award,To Kevin Brownlow for the wise and devoted chronicling of the cinematic parade.,,YES
2010,Honorary Award,To Jean-Luc Godard for passion. For confrontation. For a new kind of cinema.,,YES
2010,Honorary Award,To Eli Wallach for a lifetime's worth of indelible screen characters.,,YES
2010,Irving G. Thalberg Memorial Award,Francis Ford Coppola,,YES
2010,Scientific and Technical (Scientific and Engineering Award),"To DR. MARK SAGAR for his early and continuing development of influential facial motion retargeting solutions. Dr. Sagar's work led to a method for transforming facial motion capture data into an expression-based, editable character animation system that has been used in motion pictures with a high volume of digital characters. [Digital Imaging Technology]",,YES
2010,Scientific and Technical (Scientific and Engineering Award),"To MARK NOEL for the design, engineering, and development, and to JOHN FRAZIER for his contributions to the design and safety features, of the NAC Servo Winch System. The NAC System allows full-size cars, aircraft and other heavy props to be flown on wires with unprecedented freedom of motion and a high degree of safety, on-set and in real time. The intuitive control system responds to the motion of the operator's hand, permitting the recording and playback of all axes of motion simultaneously, which may be edited and refined for playback in subsequent takes. [Stage Operations]",,YES
2010,Scientific and Technical (Scientific and Engineering Award),"To JAMES RODNUNSKY, ALEX MacDONALD and MARK CHAPMAN for the development of the Cablecam 3-D volumetric suspended cable camera technologies. The evolution of the Cablecam technology has made it possible to move a camera safely and accurately anywhere through a three-dimensional space. [Camera Cranes]",,YES
2010,Scientific and Technical (Scientific and Engineering Award),"To TIM DRNEC, BEN BRITTEN SMITH and MATT DAVIS for the development of the Spydercam 3-D volumetric suspended cable camera technologies. The evolution of the Spydercam technology has made it possible to move a camera safely and accurately anywhere through a three-dimensional space. [Camera Cranes]",,YES
