Year,Category,Nominee,Additional Info,Won?
2009,Writing,The Hurt Locker,Written by Mark Boal,YES
2009,Writing,Inglourious Basterds,Written by Quentin Tarantino,NO
2009,Writing,The Messenger,Written by Alessandro Camon & Oren Moverman,NO
2009,Writing,A Serious Man,Written by Joel Coen & Ethan Coen,NO
2009,Writing,Up,"Screenplay by Bob Peterson, Pete Docter; Story by Pete Docter, Bob Peterson, Tom McCarthy",NO
2009,Honorary Award,To Lauren Bacall in recognition of her central place in the golden age of motion pictures.,,YES
2009,Honorary Award,To Roger Corman for his rich engendering of films and filmmakers.,,YES
2009,Honorary Award,"To Gordon Willis for unsurpassed mastery of light, shadow, color and motion.",,YES
2009,Irving G. Thalberg Memorial Award,John Calley,,YES
2009,Scientific and Technical (Scientific and Engineering Award),"To PER CHRISTENSEN, MICHAEL BUNNELL and CHRISTOPHE HERY for the development of point-based rendering for indirect illumination and ambient occlusion. Much faster than previous ray-traced methods, this computer graphics technique has enabled color bleeding effects and realistic shadows for complex scenes in motion pictures. [Digital Imaging Technology]",,YES
2009,Scientific and Technical (Scientific and Engineering Award),"To DR. RICHARD KIRK for the overall design and development of the Truelight real-time 3D look-up table hardware device and color management software. Through the use of color management software and hardware, this complete system enables accurate color presentation in the digital intermediate preview process. The Truelight system is widely utilized in digital intermediate production environments around the world. [Laboratory]",,YES
2009,Scientific and Technical (Scientific and Engineering Award),"To VOLKER MASSMANN, MARKUS HASENZAHL, DR. KLAUS ANDERLE and ANDREAS LOEW for the development of the Spirit 4K/2K film scanning system as used in the digital intermediate process for motion pictures. The Spirit 4K/2K has distinguished itself by incorporating a continuous-motion transport mechanism enabling full-range, high-resolution scanning at much higher frame rates than non-continuous transport scanners. [Laboratory]",,YES
2009,Scientific and Technical (Scientific and Engineering Award),"To MICHAEL CIESLINSKI, DR. REIMAR LENZ and BERND BRAUNER for the development of the ARRISCAN film scanner, enabling high-resolution, high-dynamic range, pin-registered film scanning for use in the digital intermediate process. The ARRISCAN film scanner utilizes a specially designed CMOS array sensor mounted on a micro-positioning platform and a custom LED light source. Capture of the film's full dynamic range at various scan resolutions is implemented through sub-pixel offsets of the sensor along with multiple exposures of each frame. [Laboratory]",,YES
2009,Scientific and Technical (Scientific and Engineering Award),"To WOLFGANG LEMPP, THEO BROWN, TONY SEDIVY and DR. JOHN QUARTEL for the development of the Northlight film scanner, which enables high-resolution, pin-registered scanning in the motion picture digital intermediate process. Developed for the digital intermediate and motion picture visual effects markets, the Northlight scanner was designed with a 6K CCD sensor, making it unique in its ability to produce high-resolution scans of 35mm, 8-perf film frames. [Laboratory]",,YES
2009,Scientific and Technical (Scientific and Engineering Award),"To STEVE CHAPMAN, MARTIN TLASKAL, DARRIN SMART and DR. JAMES LOGIE for their contributions to the development of the Baselight color correction system, which enables real-time digital manipulation of motion picture imagery during the digital intermediate process. Baselight was one of the first digital color correction systems to enter the digital intermediate market and has seen wide acceptance in the motion picture industry. [Laboratory]",,YES
2009,Scientific and Technical (Scientific and Engineering Award),"To MARK JASZBERENYI, GYULA PRISKIN and TAMAS PERLAKI for their contributions to the development of the Lustre color correction system, which enables real-time digital manipulation of motion picture imagery during the digital intermediate process. Lustre is a software solution that enables non-linear, real-time digital color grading across an entire feature film, emulating the photochemical color-timing process. [Laboratory]",,YES
2009,Scientific and Technical (Scientific and Engineering Award),"To BRAD WALKER, D. SCOTT DEWALD, BILL WERNER and GREG PETTITT for their contributions furthering the design and refinement of the Texas Instruments DLP Projector technology, achieving a level of performance that enabled color-accurate digital intermediate previews of motion pictures. Working in conjunction with the film industry, Texas Instruments created a high-resolution, color-accurate, high-quality digital intermediate projection system that could closely emulate film-based projection in a theatrical environment. [Projection]",,YES
2009,Scientific and Technical (Scientific and Engineering Award),"To FUJIFILM CORPORATION, RYOJI NISHIMURA, MASAAKI MIKI and YOUICHI HOSOYA for the design and development of Fujicolor ETERNA-RDI digital intermediate film, which was designed exclusively to reproduce motion picture digital masters. The Fujicolor ETERNA-RDI Type 8511/4511 digital intermediate film has thinner emulsion layers with extremely efficient couplers made possible by Super-Nano Cubic Grain Technology. This invention allows improved color sensitivity with the ability to absorb scattered light, providing extremely sharp images. The ETERNA-RDI emulsion technology also achieves less color cross-talk for exacting reproduction. Its expanded latitude and linearity provides superior highlights and shadows in a film stock with exceptional latent image stability. [Film]",,YES
2009,Scientific and Technical (Scientific and Engineering Award),"To PAUL DEBEVEC, TIM HAWKINS, JOHN MONOS and DR. MARK SAGAR for the design and engineering of the Light Stage capture devices and the image-based facial rendering system developed for character relighting in motion pictures. The combination of these systems, with their ability to capture high fidelity reflectance data of human subjects, allows for the creation of photorealistic digital faces as they would appear in any lighting condition. [Digital Imaging Technology]",,YES
2009,Scientific and Technical (Technical Achievement Award),"To MARK WOLFORTH and TONY SEDIVY for their contributions to the development of the Truelight real-time 3D look-up table hardware system. Through the use of color management software and hardware, this complete system enables accurate color presentation in the digital intermediate preview process. The Truelight system is widely utilized in digital intermediate production environments around the world. [Laboratory]",,YES
2009,Scientific and Technical (Technical Achievement Award),"To DR. KLAUS ANDERLE, CHRISTIAN BAEKER and FRANK BILLASCH for their contributions to the LUTher 3D look-up table hardware device and color management software. The LUTher system was one of the first color look-up table processors to be widely adopted by the pioneering digital intermediate facilities in the industry. This innovation enabled accurate color presentation by facilities that had analyzed projected film output and built 3D look-up tables in order to emulate print film. [Laboratory]",,YES
2009,Scientific and Technical (Technical Achievement Award),"To STEVE SULLIVAN, KEVIN WOOLEY, BRETT ALLEN and COLIN DAVIDSON for the development of the Imocap on-set performance capture system. Developed at Industrial Light & Magic and consisting of custom hardware and software, Imocap is an innovative system that successfully addresses the need for on-set, low-impact performance capture. [Digital Imaging Technology]",,YES
